gene_symbol	flag	ClinVar_PL_record_count	interpretation
CBFB	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CBLB	low_record_burden	3	computed but semantic interpretation limited because record count < 20
CBLIF	low_record_burden	15	computed but semantic interpretation limited because record count < 20
CBX2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CBY1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CCBE1	low_record_burden	18	computed but semantic interpretation limited because record count < 20
CCDC107	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CCDC134	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CCDC146	low_record_burden	3	computed but semantic interpretation limited because record count < 20
CCDC174	low_record_burden	1	computed but semantic interpretation limited because record count < 20
